Country Name,If Closed due to COVID19 When,Income Level,Region Name,School Status,Year Pre,Year Prm,Year Sec,Year Ter,Latitude,Longitude,Total Enrollment,Total Pre Primary,Total Primary Students,Total Secondary Students,Total Tertiary Students,Enrollment Txt,Se Pre Enrl,Se Prm Enrl,Seconday Enrollment,Tertiary Enrollment
Grenada,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2018,12.111,-61.6867,35288,3698,13195,9135,9260,35288,"3,698","13,195","9,135","9,260"
Guatemala,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2015,15.124,-90.711,4559618,603637,2362116,1227191,366674,"45,59,618","6,03,637","23,62,116","12,27,191","3,66,674"
Guyana,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2012,2012,2012,2012,5.17,-58.939,217151,27872,94488,85934,8857,"2,17,151","27,872","94,488","85,934","8,857"
Kazakhstan,16-Mar,Upper middle income,Europe and Central Asia,Closed,2019,2019,2019,2019,48.866,69.772,5060284,985721,1461448,1928070,685045,"50,60,284","9,85,721","14,61,448","19,28,070","6,85,045"
Kyrgyz Republic,16-Mar,Lower middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,41.741,75.043,1661618,240098,528627,675200,217693,"16,61,618","2,40,098","5,28,627","6,75,200","2,17,693"
St. Lucia,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2018,13.909,-60.9776,33162,3259,15874,11792,2237,33162,"3,259","15,874","11,792","2,237"
Peru,16-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2017,-12.664,-72.98,9911513,1642768,3592865,2779973,1895907,"99,11,513","16,42,768","35,92,865","27,79,973","18,95,907"
Puerto Rico,16-Mar,High income,Latin America and Caribbean,Closed,2016,2016,2016,2016,18.242,-66.643,731094,34475,227548,236001,233070,"7,31,094","34,475","2,27,548","2,36,001","2,33,070"
Serbia,16-Mar,Upper middle income,Europe and Central Asia,Closed,2018,2018,2018,2018,44.021,20.699,1220968,163931,266759,534106,256172,"12,20,968","1,63,931","2,66,759","5,34,106","2,56,172"
Uzbekistan,16-Mar,Lower middle income,Europe and Central Asia,Closed,2018,2018,2017,2018,41.757,63.958,7410552,732852,2485178,3892888,299634,"74,10,552","7,32,852","24,85,178","38,92,888","2,99,634"
"Venezuela, RB",16-Mar,Upper middle income,Latin America and Caribbean,Closed,2017,2017,2017,2009,6.983,-64.588,8989863,1190349,3285299,2391174,2123041,"89,89,863","11,90,349","32,85,299","23,91,174","21,23,041"
Bangladesh,16-Mar-20,Lower middle income,South Asia,Closed,2018,2018,2018,2018,24.598,90.1963,39936844,3578384,17338100,15869820,3150539,"3,99,36,844","35,78,384","1,73,38,100","1,58,69,820","31,50,539"
Ethiopia,16-Mar-20,Low income,Sub-Saharan Africa,Closed,2015,2015,2015,2014,8.435,38.786,24497028,2513127,16198047,5028678,757175,"2,44,97,028","25,13,127","1,61,98,047","50,28,678","7,57,175"
Kenya,16-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2016,2016,2009,2017,0.806,38.166,15257191,3199841,8290450,3204379,562521,"1,52,57,191","31,99,841","82,90,450","32,04,379","5,62,521"
Morocco,16-Mar-20,Lower middle income,Middle East and North Africa,Closed,2018,2018,2018,2018,31.129,-7.355,8943156,693233,4322623,2871043,1056257,"89,43,156","6,93,233","43,22,623","28,71,043","10,56,257"
Maldives,16-Mar-20,Upper middle income,South Asia,Closed,2017,2017,2004,2017,4.221,73.463,109688,21000,45326,28878,14484,"1,09,688","21,000","45,326","28,878","14,484"
Malaysia,16-Mar-20,Upper middle income,East Asia and Pacific,Closed,2018,2017,2018,2018,4.416,102.099,7962033,999557,3084630,2592970,1284876,"79,62,033","9,99,557","30,84,630","25,92,970","12,84,876"
Curacao,17-Mar,High income,Latin America and Caribbean,Closed,,2013,2013,2013,12.2129,-69.0407,34227,0,20812,11219,2196,34227,,"20,812","11,219","2,196"
Sint Maarten (Dutch part),18-Mar,High income,Latin America and Caribbean,Closed,2014,2014,2014,2015,18.034,-63.0544,7732,1148,3677,2713,194,7732,"1,148","3,677","2,713",194
"Gambia, The",18-Mar-20,Low income,Sub-Saharan Africa,Closed,2018,2018,2010,2012,13.499,-14.641,597708,117987,350323,124397,5001,"5,97,708","1,17,987","3,50,323","1,24,397","5,001"
Thailand,18-Mar-20,Upper middle income,East Asia and Pacific,Closed,2018,2018,2018,2016,15.688,100.845,15401441,1824392,4900785,6265551,2410713,"1,54,01,441","18,24,392","49,00,785","62,65,551","24,10,713"
Tanzania,18-Mar-20,Low income,Sub-Saharan Africa,Closed,2018,2018,2018,2016,-5.651,34.146,13861603,1422868,10111671,2148466,178598,"1,38,61,603","14,22,868","1,01,11,671","21,48,466","1,78,598"
"Congo, Dem. Rep.",19-Mar-20,Low income,Sub-Saharan Africa,Closed,2015,2015,2015,2016,-1.418,23.607,19185426,338658,13763196,4618895,464678,"1,91,85,426","3,38,658","1,37,63,196","46,18,895","4,64,678"
Mali,19-Mar-20,Low income,Sub-Saharan Africa,Closed,2018,2018,2018,2017,18.211,-2.209,3727291,131114,2477081,1046493,72603,"37,27,291","1,31,114","24,77,081","10,46,493","72,603"
Mauritius,19-Mar-20,Upper middle income,Sub-Saharan Africa,Closed,2018,2018,2018,2017,-20.2529,57.5902,277099,26183,89642,122424,38850,"2,77,099","26,183","89,642","1,22,424","38,850"
Somalia,19-Mar-20,Low income,Sub-Saharan Africa,Closed,1986,2007,2007,1987,2.875,43.446,561291,1558,457132,86929,15672,"5,61,291","1,558","4,57,132","86,929","15,672"
Sao Tome and Principe,19-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2016,2017,2017,2015,0.216,6.595,74610,9227,37172,25875,2336,74610,"9,227","37,172","25,875","2,336"
Haiti,20-Mar,Low income,Latin America and Caribbean,Closed,1985,1998,1986,1986,19.3175,-72.4205,1656768,21000,1485722,143758,6288,"16,56,768","21,000","14,85,722","1,43,758","6,288"
Mexico,20-Mar,Upper middle income,Latin America and Caribbean,Closed,2017,2017,2017,2017,22.925,-101.68,37589612,4942523,14182288,14034552,4430248,"3,75,89,612","49,42,523","1,41,82,288","1,40,34,552","44,30,248"
St. Vincent and the Grenadines,20-Mar,Upper middle income,Latin America and Caribbean,Closed,2018,2018,2018,2015,13.2528,-61.1949,27700,2514,13198,9808,2180,27700,"2,514","13,198","9,808","2,180"
Nepal,20-Mar-20,Low income,South Asia,Closed,2019,2019,2019,2018,28.2114,83.5608,8796624,958127,3970016,3463763,404718,"87,96,624","9,58,127","39,70,016","34,63,763","4,04,718"
Seychelles,20-Mar-20,High income,Sub-Saharan Africa,Closed,2018,2018,2018,2018,-4.6841,55.4924,20905,3065,9258,7459,1123,20905,"3,065","9,258","7,459","1,123"
"Congo, Rep.",21-Mar,Lower middle income,Sub-Saharan Africa,Closed,2012,2012,2012,2017,0.509,16.08,1182484,53920,734493,339250,54821,"11,82,484","53,920","7,34,493","3,39,250","54,821"
South Sudan,21-Mar-20,Low income,Sub-Saharan Africa,Closed,2015,2015,2015,,7.1,30.48,1548811,110824,1273852,164135,0,"15,48,811","1,10,824","12,73,852","1,64,135",
Lesotho,22-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2016,2017,2017,2018,-29.446,28.371,579807,53793,367931,136497,21586,"5,79,807","53,793","3,67,931","1,36,497","21,586"
Namibia,22-Mar-20,Upper middle income,Sub-Saharan Africa,Closed,2018,2018,2007,2017,-21.276,17.219,748375,43448,490719,158162,56046,"7,48,375","43,448","4,90,719","1,58,162","56,046"
Eswatini,22-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2011,2017,2016,2013,-26.5203,31.4607,377935,24139,237451,108288,8057,"3,77,935","24,139","2,37,451","1,08,288","8,057"
Bermuda,23-Mar,High income,North America,Closed,2015,2015,2015,2018,32.3019,-64.7737,9339,440,4147,4040,712,9339,440,"4,147","4,040",712
Dominica,23-Mar,Upper middle income,Latin America and Caribbean,Closed,2016,2016,2015,1993,15.4238,-61.3411,15036,1668,7323,5561,484,15036,"1,668","7,323","5,561",484
Russian Federation,23-Mar,Upper middle income,Europe and Central Asia,Closed,2017,2017,2017,2017,64.736,104.062,28618148,6252808,6573633,9905067,5886641,"2,86,18,148","62,52,808","65,73,633","99,05,067","58,86,641"
Turks and Caicos Islands,23-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,2015,21.7779,-71.7592,7359,1077,3680,2316,286,7359,"1,077","3,680","2,316",286
Madagascar,23-Mar-20,Low income,Sub-Saharan Africa,Closed,2018,2018,2018,2018,-19.615,46.645,7427233,874378,4860888,1548208,143759,"74,27,233","8,74,378","48,60,888","15,48,208","1,43,759"
Mozambique,23-Mar-20,Low income,Sub-Saharan Africa,Closed,1986,2018,2017,2018,-13.852,38.042,8038620,45100,6563376,1216214,213930,"80,38,620","45,100","65,63,376","12,16,214","2,13,930"
Malawi,23-Mar-20,Low income,Sub-Saharan Africa,Closed,2015,2018,2018,2011,-13.2731,33.7428,6855636,1360619,4441839,1040975,12203,"68,55,636","13,60,619","44,41,839","10,40,975","12,203"
Timor-Leste,23-Mar-20,Lower middle income,East Asia and Pacific,Closed,2018,2018,2018,2010,-8.856,125.556,408633,21399,212849,155832,18553,"4,08,633","21,399","2,12,849","1,55,832","18,553"
Uganda,23-Mar-20,Low income,Sub-Saharan Africa,Closed,2017,2017,2007,2014,1.9392,32.7415,10646478,608973,8840589,1031520,165396,"1,06,46,478","6,08,973","88,40,589","10,31,520","1,65,396"
Tajikistan,24-Mar,Low income,Europe and Central Asia,Closed,2017,2017,2013,2017,38.367,72.597,2190522,91081,771040,1062975,265426,"21,90,522","91,081","7,71,040","10,62,975","2,65,426"
Angola,24-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2016,2015,2016,2016,-12.836,17.808,8692733,784381,5620915,2034150,253287,"86,92,733","7,84,381","56,20,915","20,34,150","2,53,287"
Central African Republic,24-Mar-20,Low income,Sub-Saharan Africa,Closed,2017,2016,2017,2012,7.043,21.424,976622,12489,813767,137844,12522,"9,76,622","12,489","8,13,767","1,37,844","12,522"
Indonesia,24-Mar-20,Lower middle income,East Asia and Pacific,Closed,2018,2018,2018,2018,-0.739,114.045,68265784,5909251,29425748,24893570,8037218,"6,82,65,784","59,09,251","2,94,25,748","2,48,93,570","80,37,218"
India,24-Mar-20,Lower middle income,South Asia,Closed,2017,2017,2018,2018,22.741,78.236,320713792,10004418,143227424,133144368,34337592,"32,07,13,792","1,00,04,418","14,32,27,424","13,31,44,368","3,43,37,592"
Zimbabwe,24-Mar-20,Lower middle income,Sub-Saharan Africa,Closed,2013,2013,2013,2015,-19.098,30.047,4130348,374125,2663187,957461,135575,"41,30,348","3,74,125","26,63,187","9,57,461","1,35,575"
St. Kitts and Nevis,26-Mar,High income,Latin America and Caribbean,Closed,2016,2016,2016,2015,17.147,-62.58,14410,1275,5452,4175,3508,14410,"1,275","5,452","4,175","3,508"
Barbados,27-Mar,High income,Latin America and Caribbean,Closed,2018,2018,2018,2011,13.1898,-59.559,57530,5320,20218,19571,12421,57530,"5,320","20,218","19,571","12,421"
Palau,Apirl 3,High income,East Asia and Pacific,Closed,2014,2014,2014,2013,7.5288,134.5573,4624,518,1639,1604,863,4624,518,"1,639","1,604",863
"Micronesia, Fed. Sts.","Each State responsible so there isn't one set date but for the last two weeks of March, all schools have been closed.",Lower middle income,East Asia and Pacific,Closed,2015,2015,2005,2000,7.531,150.457,31195,2264,13758,13634,1539,31195,"2,264","13,758","13,634","1,539"
Myanmar,Schools closed because of holidays,Lower middle income,East Asia and Pacific,Closed,2018,2018,2018,2018,21.841,96.05,10572809,154103,5299765,4186742,932199,"1,05,72,809","1,54,103","52,99,765","41,86,742","9,32,199"
Canada,13-Mar,High income,North America,Closed (in select areas),1996,2017,2017,2017,59.2067,-111.1937,7152802,509589,2364626,2653009,1625578,"71,52,802","5,09,589","23,64,626","26,53,009","16,25,578"
Cambodia,14-Mar-20,Lower middle income,East Asia and Pacific,Closed (in select areas),2018,2018,2008,2018,12.69,104.444,3541740,252743,2147313,930200,211484,"35,41,740","2,52,743","21,47,313","9,30,200","2,11,484"
Nigeria,18-Mar-20,Lower middle income,Sub-Saharan Africa,Closed (in select areas),2010,2016,2016,2011,9.3417,7.678,39440016,2020668,25591180,10314796,1513371,"3,94,40,016","20,20,668","2,55,91,180","1,03,14,796","15,13,371"
Marshall Islands,,Upper middle income,East Asia and Pacific,Seasonal school closures,2016,2016,2016,2012,5.961,169.651,15933,1162,7941,5500,1330,15933,"1,162","7,941","5,500","1,330"
Kuwait,1-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2015,2018,29.3169,47.4272,777169,78830,279956,302047,116336,"7,77,169","78,830","2,79,956","3,02,047","1,16,336"
Lebanon,2-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,34.161,36.021,1363393,220396,509280,402502,231215,"13,63,393","2,20,396","5,09,280","4,02,502","2,31,215"
United Arab Emirates,8-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2017,2017,2017,2017,23.9299,53.9031,1362359,155999,486086,528480,191794,"13,62,359","1,55,999","4,86,086","5,28,480","1,91,794"
Qatar,10-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,25.3174,51.1522,343524,48411,153908,107537,33668,"3,43,524","48,411","1,53,908","1,07,537","33,668"
Algeria,12-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2011,2018,2011,2018,28.6045,2.64,11093218,490035,4429994,4572513,1600676,"1,10,93,218","4,90,035","44,29,994","45,72,513","16,00,676"
Tunisia,12-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2016,2018,2016,2018,35.594,9.421,2771845,250813,1201736,1047035,272261,"27,71,845","2,50,813","12,01,736","10,47,035","2,72,261"
Libya,13-Mar-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2006,2006,2006,2003,27.24,17.571,1885226,22246,755338,732614,375028,"18,85,226","22,246","7,55,338","7,32,614","3,75,028"
"Egypt, Arab Rep.",15-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2017,26.16,28.742,26071892,1377342,12643289,9136789,2914473,"2,60,71,892","13,77,342","1,26,43,289","91,36,789","29,14,473"
Oman,15-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,19.85,56.25,900153,79246,278745,422440,119722,"9,00,153","79,246","2,78,745","4,22,440","1,19,722"
Malta,17-Mar-20,High income,Middle East and North Africa,Seasonal school closures,2017,2017,2017,2017,35.9024,14.4137,80205,9224,25796,30760,14425,80205,"9,224","25,796","30,760","14,425"
Bahrain,25-Feb-20,High income,Middle East and North Africa,Seasonal school closures,2018,2018,2018,2018,26.025,50.5534,292429,34585,113878,99026,44940,"2,92,429","34,585","1,13,878","99,026","44,940"
Djibouti,25-Mar-20,Lower middle income,Middle East and North Africa,Seasonal school closures,2019,2019,2019,2011,11.41,42.165,142564,3659,68701,65499,4705,"1,42,564","3,659","68,701","65,499","4,705"
Iraq,27-Feb-20,Upper middle income,Middle East and North Africa,Seasonal school closures,2007,2007,2007,2005,33.545,43.278,7435696,108929,4864350,2037509,424908,"74,35,696","1,08,929","48,64,350","20,37,509","4,24,908"
Belarus,,Upper middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,53.3292,27.9492,1815809,349373,427752,649357,389327,"18,15,809","3,49,373","4,27,752","6,49,357","3,89,327"
Brunei Darussalam,,High income,East Asia and Pacific,Open with limitations,2018,2018,2018,2018,4.452,114.557,108360,13869,39472,44079,10940,"1,08,360","13,869","39,472","44,079","10,940"
Japan,,High income,East Asia and Pacific,Open with limitations,2017,2017,2017,2017,35.962,137.855,20349962,2872084,6531731,7093113,3853034,"2,03,49,962","28,72,084","65,31,731","70,93,113","38,53,034"
Liberia,,Low income,Sub-Saharan Africa,Open with limitations,2017,2017,2015,2012,6.51,-9.33,1415811,509618,635478,226832,43883,"14,15,811","5,09,618","6,35,478","2,26,832","43,883"
Nicaragua,,Lower middle income,Latin America and Caribbean,Open with limitations,2010,2010,2010,2002,12.692,-85.03,1707371,218062,923745,465201,100363,"17,07,371","2,18,062","9,23,745","4,65,201","1,00,363"
Sweden,,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,66.2188,19,2665410,461746,861086,916224,426354,"26,65,410","4,61,746","8,61,086","9,16,224","4,26,354"
Portugal,8-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,40.957,-7.9373,2000703,253959,629804,769977,346963,"20,00,703","2,53,959","6,29,804","7,69,977","3,46,963"
Albania,9-Mar,Upper middle income,Europe and Central Asia,Open with limitations,2018,2018,2018,2018,40.654,20.076,652592,81026,170861,268872,131833,"6,52,592","81,026","1,70,861","2,68,872","1,31,833"
Iceland,9-Mar,High income,Europe and Central Asia,Open with limitations,2017,2017,2017,2017,64.826,-18.417,98224,13115,31981,35161,17967,98224,"13,115","31,981","35,161","17,967"
"Iran, Islamic Rep.",1-Mar-20,Upper middle income,Middle East and North Africa,Open with limitations,2016,2017,2017,2017,33.408,54.0418,18635824,706093,8171667,5684238,4073827,"1,86,35,824","7,06,093","81,71,667","56,84,238","40,73,827"
